dateStr=2015-12-24;timeStr=19:06:13;seconds=3533828773.199000;fileVersion=20151224;numObjects=1343;numSessions=6;
masterIdx,map,session,spineMapRow,segmentMapRow,Idx,roiType,roiTypeNum,x,y,z,channel,groupID,parentID,cPnt,sDist,pDist,cAuto,cAngle,cLine,cLineNum,cx,cy,cz,cDate,cTime,mDate,mTime,cSeconds,mSeconds,userName,note,edgeList,isDirty,isBad,dynBad,intBad,progType,madeFrom,analParam,analResult1,analResult2,analResult3,analResult4,user1,user2,user3,userBool1,userBool2,userBool3,userType,bSpineMap,bSpineIdx,error,warning,idx_ch1,x_ch1,y_ch1,z_ch1,sLen2d_ch1,sLen3d_ch1,intmSeconds_ch1,isDirty_ch1,intBad_ch1,intManual_ch1,spineWidth_ch1,extendHead_ch1,extendTail_ch1,scaleRadius_ch1,zPlusMinus_ch1,sSum_ch1,sMean_ch1,sSD_ch1,sN_ch1,sbSum_ch1,sbMean_ch1,sbSD_ch1,sbN_ch1,sbxyManual_ch1,sbxPos_ch1,sbyPos_ch1,dSum_ch1,dMean_ch1,dSD_ch1,dN_ch1,dPlus_ch1,dMinus_ch1,dbSum_ch1,dbMean_ch1,dbSD_ch1,dbN_ch1,ubssSum_ch1,ubssMean_ch1,ubsdSum_ch1,ubsdMean_ch1,idx_ch2,x_ch2,y_ch2,z_ch2,sLen2d_ch2,sLen3d_ch2,intmSeconds_ch2,isDirty_ch2,intBad_ch2,intManual_ch2,spineWidth_ch2,extendHead_ch2,extendTail_ch2,scaleRadius_ch2,zPlusMinus_ch2,sSum_ch2,sMean_ch2,sSD_ch2,sN_ch2,sbSum_ch2,sbMean_ch2,sbSD_ch2,sbN_ch2,sbxyManual_ch2,sbxPos_ch2,sbyPos_ch2,dSum_ch2,dMean_ch2,dSD_ch2,dN_ch2,dPlus_ch2,dMinus_ch2,dbSum_ch2,dbMean_ch2,dbSD_ch2,dbN_ch2,ubssSum_ch2,ubssMean_ch2,ubsdSum_ch2,ubsdMean_ch2,
382,rr49c,1,183,1,168,spineROI,0,108.27,63.317,51,1,,1,2009,121.61,62.582,0,401.22,radius2,2,108.66,64.548,51.8,2015-10-21,12:50:23,2015-12-18,20:31:11,3528276623.598000,3533315471.492000,Nancy Luo,,,,1,,,,0,,,,,,,,,,,,,,,#4 spine ImageBoundaryToMask;,,156.000000,nan,nan,nan,1.291302,1.519033,nan,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,156.000000,nan,nan,nan,nan,nan,nan,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
383,rr49c,1,185,1,169,spineROI,0,111.3,64.005,50,1,,1,2024,123.71,64.68,0,424.22,radius2,2,110.45,65.446,50,2015-10-21,12:50:27,2015-12-18,20:31:11,3528276627.740000,3533315471.496000,Nancy Luo,,,,1,,,,0,,,,,,,,,,,,,,,#4 spine ImageBoundaryToMask;,,157.000000,nan,nan,nan,1.673016,1.673016,nan,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,157.000000,nan,nan,nan,nan,nan,nan,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
384,rr49c,1,189,1,170,spineROI,0,109.86,67.792,52,1,,1,2012,122.07,63.041,0,218.59,radius1,1,108.68,65.353,51.8,2015-10-21,12:50:39,2015-12-18,20:31:11,3528276639.476000,3533315471.500000,Nancy Luo,,,,1,,,,0,,,,,,,,,,,,,,,#5 long backbone ImageBoundaryToMask;,,158.000000,nan,nan,nan,2.709450,2.716822,nan,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,158.000000,nan,nan,nan,nan,nan,nan,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
385,rr49c,1,188,1,171,spineROI,0,113.64,66.484,52,1,,1,2051,127.67,68.645,0,425,radius2,2,113.38,67.551,50.4,2015-10-21,12:50:43,2015-12-18,20:31:11,3528276643.137000,3533315471.505000,Nancy Luo,,,,1,,,,0,,,,,,,,,,,,,,,#5 long backbone ImageBoundaryToMask;,,159.000000,nan,nan,nan,1.098221,1.940641,nan,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,159.000000,nan,nan,nan,nan,nan,nan,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
386,rr49c,1,190,1,173,spineROI,0,111.03,68.687,50,1,,1,2039,126,66.977,0,269.24,radius1,1,111.68,67.273,49.6,2015-10-21,12:50:49,2015-12-18,20:31:11,3528276649.099000,3533315471.509000,Nancy Luo,,,,1,,,,0,,,,,,,,,,,,,,,#5 long backbone ImageBoundaryToMask;,,160.000000,nan,nan,nan,1.556244,1.606828,nan,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,160.000000,nan,nan,nan,nan,nan,nan,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
387,rr49c,1,190,1,173,spineROI,0,115.78,67.379,48,1,,1,2058,128.86,69.833,0,469.77,radius2,2,114.22,68.343,51,2015-10-21,12:50:58,2015-12-18,20:31:11,3528276658.035000,3533315471.513000,Nancy Luo,,,,1,,,,0,,,,,,,,,,,,,,,#4 spine ImageBoundaryToMask;,,161.000000,nan,nan,nan,1.833820,3.516091,nan,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,161.000000,nan,nan,nan,nan,nan,nan,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
388,rr49c,1,193,2,174,spineROI,0,46.287,4.1311,12,1,,2,2110,4.7844,-40.133,0,283.3,radius1,1,47.439,3.1187,12.2,2015-10-21,13:17:17,2015-12-18,20:31:11,3528278237.546000,3533315471.517000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,#4 spine ImageBoundaryToMask;,,162.000000,nan,nan,nan,1.533642,1.546628,nan,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,162.000000,nan,nan,nan,nan,nan,nan,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
389,rr49c,1,192,2,175,spineROI,0,48.421,5.9899,12,1,,2,2127,7.2015,-37.716,0,263.96,radius1,1,49.239,4.5107,13,2015-10-21,13:17:18,2015-12-18,20:31:11,3528278238.900000,3533315471.522000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,#5 long backbone ImageBoundaryToMask;,,163.000000,nan,nan,nan,1.690313,1.963964,nan,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,163.000000,nan,nan,nan,nan,nan,nan,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
390,rr49c,1,196,2,176,spineROI,0,56.544,8.3995,14,1,,2,2191,16.41,-28.508,0,466.2,radius2,2,55.781,9.5528,14.8,2015-10-21,13:17:21,2015-12-18,20:31:11,3528278241.650000,3533315471.526000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,#4 spine ImageBoundaryToMask;,,164.000000,nan,nan,nan,1.382849,1.597582,nan,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,164.000000,nan,nan,nan,nan,nan,nan,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
391,rr49c,1,198,2,177,spineROI,0,53.033,9.8452,14,1,,2,2175,14.631,-30.287,0,267.95,radius1,1,54.342,9.05,15,2015-10-21,13:17:24,2015-12-18,20:31:11,3528278244.254000,3533315471.530000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,#4 spine ImageBoundaryToMask;,,165.000000,nan,nan,nan,1.531608,1.829159,nan,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,165.000000,nan,nan,nan,nan,nan,nan,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
392,rr49c,1,199,2,178,spineROI,0,55.168,12.461,15,1,,2,2209,19.067,-25.851,0,313.22,radius1,1,57.323,11.689,16.4,2015-10-21,13:17:25,2015-12-18,20:31:11,3528278245.455000,3533315471.535000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,#4 spine ImageBoundaryToMask;,,166.000000,nan,nan,nan,2.289107,2.683283,nan,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,166.000000,nan,nan,nan,nan,nan,nan,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
393,rr49c,1,200,2,179,spineROI,0,57.026,14.733,19,1,,2,2229,21.894,-23.024,0,302.56,radius1,1,59.483,13.225,17.8,2015-10-21,13:17:35,2015-12-18,20:31:11,3528278255.783000,3533315471.539000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,#6 reducing spine with ImageSeedFill;,,167.000000,nan,nan,nan,2.882865,3.122645,nan,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,167.000000,nan,nan,nan,nan,nan,nan,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
394,rr49c,1,321,2,180,spineROI,0,65.838,14.389,20,1,,2,2283,29.377,-15.541,0,411.37,radius2,2,65.647,16.073,17.6,2015-10-21,13:17:41,2015-12-18,20:31:11,3528278261.103000,3533315471.543000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,168.000000,nan,nan,nan,1.694797,2.938084,nan,0.000000,nan,nan,nan,nan,nan,nan,nan,282.000000,94.000000,49.426712,3.000000,69.000000,23.000000,17.320509,3.000000,0.000000,72.617188,7.609812,168.000000,28.000000,23.323807,6.000000,nan,nan,258.000000,43.000000,38.889587,6.000000,213.000000,71.000000,-90.000000,-15.000000,168.000000,nan,nan,nan,nan,nan,nan,0.000000,nan,nan,nan,nan,nan,nan,nan,228.000000,76.000000,16.522711,3.000000,69.000000,23.000000,17.320509,3.000000,0.000000,72.617188,7.609812,168.000000,28.000000,23.323807,6.000000,nan,nan,258.000000,43.000000,38.889587,6.000000,159.000000,53.000000,-90.000000,-15.000000,
395,rr49c,1,322,2,181,spineROI,0,66.458,19.965,21,1,,2,2308,33.052,-11.866,0,288.2,radius1,1,67.846,18.843,22,2015-10-21,13:17:43,2015-12-18,20:31:11,3528278263.589000,3533315471.547000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,#4 spine ImageBoundaryToMask;,,169.000000,nan,nan,nan,1.784777,2.045832,nan,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,169.000000,nan,nan,nan,nan,nan,nan,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
396,rr49c,1,323,2,182,spineROI,0,71.897,20.654,24,1,,2,2344,38.196,-6.7215,0,437.76,radius2,2,71.633,21.375,22.6,2015-10-21,13:17:47,2015-12-18,20:31:11,3528278267.755000,3533315471.552000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,#5 long backbone ImageBoundaryToMask;,,170.000000,nan,nan,nan,0.767813,1.596727,nan,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,170.000000,nan,nan,nan,nan,nan,nan,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
397,rr49c,1,324,2,183,spineROI,0,69.281,22.719,25,1,,2,2342,38.076,-6.8415,0,324.38,radius1,1,71.171,21.94,22.6,2015-10-21,13:17:49,2015-12-18,20:31:11,3528278269.838000,3533315471.556000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,171.000000,nan,nan,nan,2.044246,3.152609,nan,0.000000,nan,nan,nan,nan,nan,nan,nan,1282.000000,85.466667,91.926888,15.000000,968.000000,64.533333,89.241142,15.000000,0.000000,77.457985,14.542017,388.000000,43.111111,33.669144,9.000000,nan,nan,291.000000,32.333332,54.479355,9.000000,314.000000,20.933334,97.000000,10.777779,171.000000,nan,nan,nan,nan,nan,nan,0.000000,nan,nan,nan,nan,nan,nan,nan,2805.000000,187.000000,263.693817,15.000000,968.000000,64.533333,89.241142,15.000000,0.000000,77.457985,14.542017,388.000000,43.111111,33.669144,9.000000,nan,nan,291.000000,32.333332,54.479355,9.000000,1837.000000,122.466667,97.000000,10.777779,
398,rr49c,1,325,2,184,spineROI,0,73.053,29.025,24,1,,2,2389,45.038,0.12,0,260.22,radius1,1,74.655,27.219,26.4,2015-10-21,13:17:55,2015-12-18,20:31:11,3528278275.239000,3533315471.560000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,172.000000,nan,nan,nan,2.414133,3.404121,nan,0.000000,nan,nan,nan,nan,nan,nan,nan,184.000000,30.666666,24.212944,6.000000,315.000000,52.500000,63.342720,6.000000,0.000000,85.972977,16.105026,0.000000,0.000000,0.000000,3.000000,nan,nan,22.000000,7.333333,11.015141,3.000000,-131.000000,-21.833334,-22.000000,-7.333333,172.000000,nan,nan,nan,nan,nan,nan,0.000000,nan,nan,nan,nan,nan,nan,nan,695.000000,115.833336,78.961807,6.000000,315.000000,52.500000,63.342720,6.000000,0.000000,85.972977,16.105026,0.000000,0.000000,0.000000,3.000000,nan,nan,22.000000,7.333333,11.015141,3.000000,380.000000,63.333336,-22.000000,-7.333333,
399,rr49c,1,201,2,185,spineROI,0,72.158,26.065,26,1,,2,2374,42.741,-2.1771,0,289.15,radius1,1,73.433,25.447,25.4,2015-10-21,13:17:59,2015-12-18,20:31:11,3528278279.859000,3533315471.565000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,#4 spine ImageBoundaryToMask;,,173.000000,nan,nan,nan,1.416880,1.538684,nan,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,173.000000,nan,nan,nan,nan,nan,nan,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
400,rr49c,1,203,2,186,spineROI,0,76.84,26.34,27,1,,2,2396,46.006,1.0885,0,452.93,radius2,2,75.776,27.475,25.8,2015-10-21,13:18:01,2015-12-18,20:31:11,3528278281.444000,3533315471.569000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,#4 spine ImageBoundaryToMask;,,174.000000,nan,nan,nan,1.555738,1.964770,nan,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,174.000000,nan,nan,nan,nan,nan,nan,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
401,rr49c,1,202,2,187,spineROI,0,75.188,29.714,28,1,,2,2407,47.575,2.6571,0,275.91,radius1,1,76.217,28.879,29,2015-10-21,13:18:03,2015-12-18,20:31:11,3528278283.255000,3533315471.573000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,#4 spine ImageBoundaryToMask;,,175.000000,nan,nan,nan,1.325166,1.660140,nan,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,175.000000,nan,nan,nan,nan,nan,nan,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
402,rr49c,1,206,2,188,spineROI,0,77.941,27.855,30,1,,2,2415,48.783,3.8656,0,409.78,radius2,2,77.436,29.34,29.2,2015-10-21,13:18:05,2015-12-18,20:31:11,3528278285.943000,3533315471.578000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,#5 long backbone ImageBoundaryToMask;,,176.000000,nan,nan,nan,1.568518,1.760753,nan,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,176.000000,nan,nan,nan,nan,nan,nan,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
403,rr49c,1,223,2,189,spineROI,0,76.909,32.468,31,1,,2,2424,50.211,5.2935,0,257.38,radius1,1,77.886,30.74,31,2015-10-21,13:18:07,2015-12-18,20:31:11,3528278287.301000,3533315471.582000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,#4 spine ImageBoundaryToMask;,,177.000000,nan,nan,nan,1.985072,1.985072,nan,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,177.000000,nan,nan,nan,nan,nan,nan,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
404,rr49c,1,209,2,190,spineROI,0,80.213,31.16,32,1,,2,2433,51.59,6.6718,0,433.06,radius2,2,79.332,31.355,30.8,2015-10-21,13:18:10,2015-12-18,20:31:11,3528278290.866000,3533315471.586000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,#4 spine ImageBoundaryToMask;,,178.000000,nan,nan,nan,0.902323,1.501395,nan,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,178.000000,nan,nan,nan,nan,nan,nan,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
405,rr49c,1,210,2,191,spineROI,0,77.983,33.156,36,1,,2,2444,52.968,8.05,0,288.97,radius1,1,78.967,32.59,33.8,2015-10-21,13:18:16,2015-12-18,20:31:11,3528278296.561000,3533315471.590000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,#6 reducing spine with ImageSeedFill;,,179.000000,nan,nan,nan,1.135170,2.475603,nan,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,179.000000,nan,nan,nan,nan,nan,nan,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
406,rr49c,1,211,2,192,spineROI,0,78.258,37.356,36,1,,2,2463,55.646,10.728,0,239.3,radius1,1,79.871,34.717,36.8,2015-10-21,13:18:19,2015-12-18,20:31:11,3528278299.575000,3533315471.595000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,#4 spine ImageBoundaryToMask;,,180.000000,nan,nan,nan,3.092910,3.194697,nan,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,180.000000,nan,nan,nan,nan,nan,nan,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
407,rr49c,1,208,2,193,spineROI,0,81.631,33.982,38,1,,2,2473,57.094,12.176,0,431.82,radius2,2,81.099,35.415,37.8,2015-10-21,13:18:24,2015-12-18,20:31:11,3528278304.629000,3533315471.603000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,#4 spine ImageBoundaryToMask;,,181.000000,nan,nan,nan,1.528566,1.541594,nan,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,181.000000,nan,nan,nan,nan,nan,nan,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
408,rr49c,1,326,2,194,spineROI,0,80.805,33.018,36,1,,2,2459,55.066,10.148,0,425.82,radius2,2,80.196,33.9,36.4,2015-10-21,13:18:30,2015-12-18,20:31:11,3528278310.295000,3533315471.611000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,#4 spine ImageBoundaryToMask;,,182.000000,nan,nan,nan,1.071823,1.144030,nan,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,182.000000,nan,nan,nan,nan,nan,nan,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
409,rr49c,1,212,2,195,spineROI,0,79.704,36.805,37,1,,2,2473,57.094,12.176,0,279.87,radius1,1,80.661,35.961,37.8,2015-10-21,13:18:33,2015-12-18,20:31:11,3528278313.566000,3533315471.615000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,#4 spine ImageBoundaryToMask;,,183.000000,nan,nan,nan,1.276003,1.506050,nan,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,183.000000,nan,nan,nan,nan,nan,nan,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
410,rr49c,1,327,2,196,spineROI,0,83.559,37.356,39,1,,2,2496,60.281,15.363,0,451.26,radius2,2,82.655,37.959,40.4,2015-10-21,13:18:39,2015-12-18,20:31:11,3528278319.323000,3533315471.620000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,#4 spine ImageBoundaryToMask;,,184.000000,nan,nan,nan,1.086658,1.772237,nan,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,184.000000,nan,nan,nan,nan,nan,nan,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
411,rr49c,1,108,2,198,spineROI,0,81.838,40.178,43,1,,2,2503,61.369,16.451,0,258.79,radius1,1,82.647,39.219,42,2015-10-21,13:18:53,2015-12-18,20:31:11,3528278333.890000,3533315471.624000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,185.000000,nan,nan,nan,1.254656,1.604419,nan,0.000000,nan,nan,nan,nan,nan,nan,nan,164.000000,27.333334,19.674009,6.000000,125.000000,20.833334,21.507362,6.000000,0.000000,86.856621,35.159374,120.000000,40.000000,38.935844,3.000000,nan,nan,57.000000,19.000000,17.776388,3.000000,39.000000,6.500000,63.000000,21.000000,185.000000,nan,nan,nan,nan,nan,nan,0.000000,nan,nan,nan,nan,nan,nan,nan,180.000000,30.000000,70.563446,6.000000,125.000000,20.833334,21.507362,6.000000,0.000000,86.856621,35.159374,120.000000,40.000000,38.935844,3.000000,nan,nan,57.000000,19.000000,17.776388,3.000000,55.000000,9.166666,63.000000,21.000000,
